date,close_to_close_20d,parkinson_20d,garman_klass_20d,rogers_satchell_20d,yang_zhang_20d,parkinson_c2c_ratio
2024-10-25,0.1118,0.1134,0.1145,0.1161,0.1288,1.0149
2024-10-28,0.1174,0.1172,0.1196,0.1211,0.1335,0.9991
2024-10-29,0.1146,0.1178,0.1216,0.1246,0.1355,1.0277
2024-10-30,0.1146,0.1181,0.122,0.1252,0.1366,1.0306
2024-10-31,0.0936,0.1144,0.1176,0.12,0.1234,1.2229
2024-11-01,0.092,0.106,0.1071,0.1071,0.1128,1.1523
2024-11-04,0.0969,0.1083,0.1093,0.1106,0.1156,1.1172
2024-11-05,0.0973,0.1109,0.1107,0.1114,0.1179,1.139
2024-11-06,0.1069,0.112,0.1114,0.1112,0.1188,1.0482
2024-11-07,0.1128,0.1148,0.1124,0.1112,0.1191,1.0177
2024-11-08,0.1128,0.1159,0.1139,0.1126,0.1202,1.0274
2024-11-11,0.109,0.119,0.1184,0.1178,0.1244,1.0914
2024-11-12,0.1131,0.123,0.1204,0.1189,0.1266,1.0874
2024-11-13,0.1197,0.1263,0.1227,0.1204,0.1284,1.0556
2024-11-14,0.1178,0.1249,0.1231,0.1219,0.129,1.0603
2024-11-18,0.1152,0.124,0.1223,0.1214,0.1277,1.0765
2024-11-19,0.1168,0.1246,0.1241,0.1251,0.1304,1.0667
2024-11-21,0.1125,0.1209,0.1217,0.1236,0.1285,1.0743
2024-11-22,0.144,0.1308,0.1272,0.1254,0.1328,0.9087
2024-11-25,0.1521,0.1316,0.1283,0.1265,0.1419,0.8657
2024-11-26,0.1488,0.1291,0.1257,0.1242,0.1404,0.8672
2024-11-27,0.1475,0.1265,0.1222,0.1206,0.1376,0.8581
2024-11-28,0.1546,0.1298,0.1232,0.1191,0.1372,0.8396
2024-11-29,0.1577,0.1308,0.1232,0.1185,0.1362,0.8293
2024-12-02,0.158,0.1322,0.1253,0.1212,0.1384,0.8363
2024-12-03,0.1595,0.1331,0.1264,0.1224,0.1394,0.8345
2024-12-04,0.1522,0.1268,0.1207,0.116,0.1336,0.833
2024-12-05,0.1527,0.1315,0.1294,0.1259,0.1393,0.8607
2024-12-06,0.1484,0.1287,0.1264,0.123,0.1364,0.8673
2024-12-09,0.1422,0.126,0.1253,0.1228,0.136,0.8861
2024-12-10,0.1418,0.1254,0.1246,0.1224,0.1355,0.8845
2024-12-11,0.1418,0.1223,0.1204,0.1175,0.1309,0.8629
2024-12-12,0.1364,0.1177,0.1179,0.1163,0.1291,0.8626
2024-12-13,0.1271,0.125,0.1279,0.13,0.1396,0.9831
2024-12-16,0.1285,0.1247,0.1274,0.1291,0.139,0.9702
2024-12-17,0.1387,0.1257,0.1275,0.1284,0.1399,0.906
2024-12-18,0.141,0.1243,0.1252,0.1245,0.137,0.881
2024-12-19,0.1438,0.1228,0.1238,0.123,0.1445,0.8543
2024-12-20,0.13,0.1201,0.1239,0.1244,0.1441,0.9238
2024-12-23,0.1235,0.1203,0.1241,0.1246,0.137,0.9741
2024-12-24,0.1235,0.1199,0.1242,0.1249,0.1358,0.9707
2024-12-26,0.1227,0.1198,0.1243,0.125,0.136,0.9764
2024-12-27,0.1123,0.113,0.1197,0.1224,0.1328,1.0059
2024-12-30,0.1094,0.1142,0.1219,0.1248,0.1344,1.0433
2024-12-31,0.1065,0.1131,0.1209,0.1236,0.1338,1.062
2025-01-01,0.1037,0.1142,0.1221,0.1246,0.1338,1.1011
2025-01-02,0.1248,0.1204,0.1247,0.1255,0.1366,0.9645
2025-01-03,0.1211,0.1118,0.1127,0.1131,0.1264,0.9232
2025-01-06,0.1315,0.1212,0.1191,0.1174,0.1318,0.9212
2025-01-07,0.1332,0.1215,0.1195,0.1179,0.1327,0.9123
2025-01-08,0.1332,0.1228,0.1213,0.1212,0.1352,0.9226
2025-01-09,0.1337,0.1236,0.1217,0.1213,0.1353,0.9249
2025-01-10,0.1337,0.1251,0.1233,0.1228,0.1366,0.9355
2025-01-13,0.1338,0.1164,0.1129,0.1095,0.1297,0.8695
2025-01-14,0.1362,0.116,0.1126,0.1093,0.1305,0.8512
2025-01-15,0.1316,0.1134,0.1111,0.1084,0.1296,0.8612
2025-01-16,0.133,0.1118,0.1091,0.1064,0.1303,0.8412
2025-01-17,0.1299,0.1126,0.1102,0.1078,0.1216,0.8669
2025-01-20,0.1222,0.1041,0.1038,0.1031,0.1172,0.8518
2025-01-21,0.1272,0.1102,0.1057,0.103,0.1175,0.8665
2025-01-22,0.1296,0.1104,0.1058,0.1036,0.1184,0.8515
2025-01-23,0.13,0.1102,0.1053,0.103,0.1183,0.8476
2025-01-24,0.1298,0.1128,0.1088,0.1065,0.121,0.8692
2025-01-27,0.133,0.1111,0.1067,0.1042,0.1218,0.8356
2025-01-28,0.1353,0.1122,0.1086,0.1064,0.1236,0.8293
2025-01-29,0.1388,0.1114,0.1071,0.1048,0.1227,0.8027
2025-01-30,0.1203,0.1044,0.1035,0.1032,0.119,0.8682
2025-01-31,0.1265,0.1055,0.1045,0.1041,0.1205,0.8341
2025-02-01,0.1136,0.0981,0.102,0.104,0.1184,0.8635
2025-02-03,0.1137,0.0982,0.1021,0.1042,0.1216,0.863
2025-02-04,0.1277,0.1002,0.1027,0.1026,0.1228,0.7847
2025-02-05,0.1254,0.0995,0.1022,0.1021,0.1224,0.793
2025-02-06,0.1254,0.0987,0.1007,0.1006,0.1216,0.7876
2025-02-07,0.1129,0.0977,0.0995,0.099,0.1134,0.8649
2025-02-10,0.1162,0.0996,0.101,0.1,0.1145,0.8573
2025-02-11,0.1254,0.1054,0.1048,0.103,0.1177,0.8404
2025-02-12,0.1243,0.1097,0.1108,0.1105,0.1218,0.8819
2025-02-13,0.1235,0.1105,0.1122,0.1125,0.1231,0.8954
2025-02-14,0.1219,0.1137,0.1155,0.116,0.1257,0.9327
2025-02-17,0.1126,0.1084,0.1137,0.1159,0.1258,0.9631
2025-02-18,0.1106,0.1085,0.1139,0.1163,0.1256,0.9811
2025-02-19,0.1102,0.1094,0.1151,0.1177,0.1277,0.9932
2025-02-20,0.1091,0.1065,0.1112,0.1131,0.1253,0.9761
2025-02-21,0.103,0.1061,0.1111,0.1131,0.1233,1.0303
2025-02-24,0.107,0.1039,0.1079,0.1097,0.1222,0.9702
2025-02-25,0.101,0.1026,0.1071,0.1093,0.121,1.0162
2025-02-27,0.0994,0.1017,0.1061,0.1084,0.1202,1.0232
2025-02-28,0.1053,0.1041,0.1068,0.1083,0.1209,0.9891
2025-03-03,0.1055,0.1031,0.1053,0.1067,0.1204,0.9776
2025-03-04,0.1053,0.103,0.1046,0.1056,0.1196,0.9783
2025-03-05,0.0957,0.1032,0.1038,0.1044,0.1161,1.0787
2025-03-06,0.1047,0.1067,0.1089,0.1122,0.1244,1.0197
2025-03-07,0.105,0.1061,0.109,0.1126,0.1238,1.011
2025-03-10,0.1052,0.1063,0.1093,0.1136,0.1239,1.0108
2025-03-11,0.1043,0.1056,0.1085,0.1127,0.1239,1.0133
2025-03-12,0.0956,0.1017,0.1071,0.1127,0.1231,1.0634
2025-03-13,0.0959,0.098,0.1012,0.1055,0.1189,1.0222
2025-03-17,0.0984,0.0977,0.0997,0.1029,0.1171,0.9934
2025-03-18,0.1111,0.095,0.0959,0.0984,0.1163,0.855
2025-03-19,0.1116,0.093,0.0941,0.0968,0.1145,0.8327
2025-03-20,0.1195,0.0939,0.0944,0.0959,0.1163,0.786
2025-03-21,0.1214,0.0947,0.0941,0.0949,0.1151,0.7795
2025-03-24,0.1283,0.0973,0.0973,0.098,0.1191,0.7587
2025-03-25,0.126,0.0985,0.0988,0.0996,0.1206,0.7815
2025-03-26,0.1227,0.1008,0.1002,0.1003,0.1178,0.822
2025-03-27,0.1226,0.1025,0.1015,0.101,0.1187,0.8357
2025-03-28,0.1238,0.1036,0.1028,0.1023,0.1197,0.8368
2025-04-01,0.1164,0.1057,0.1087,0.1111,0.1271,0.908
2025-04-02,0.1172,0.1042,0.1062,0.1084,0.1247,0.8896
2025-04-03,0.1182,0.1044,0.1066,0.1089,0.126,0.8831
2025-04-04,0.1282,0.1049,0.107,0.1091,0.1272,0.8187
2025-04-07,0.171,0.1122,0.1097,0.1072,0.218,0.6558
2025-04-08,0.1816,0.1181,0.1178,0.1154,0.2278,0.6507
2025-04-09,0.1823,0.1163,0.1153,0.112,0.2264,0.6382
2025-04-11,0.1939,0.1166,0.1159,0.1133,0.2324,0.6014
2025-04-15,0.2068,0.1152,0.114,0.1115,0.2464,0.557
2025-04-16,0.2061,0.1151,0.1144,0.1123,0.2462,0.5583
2025-04-17,0.2126,0.1244,0.1211,0.1172,0.249,0.585
2025-04-21,0.2109,0.1246,0.1215,0.1176,0.2484,0.591
2025-04-22,0.2109,0.1249,0.1219,0.1181,0.2487,0.5923
2025-04-23,0.2086,0.1247,0.1225,0.1207,0.2506,0.5978
2025-04-24,0.2088,0.1227,0.1209,0.1196,0.2501,0.5879
2025-04-25,0.2076,0.1286,0.1278,0.1267,0.2523,0.6195
2025-04-28,0.2111,0.1291,0.1265,0.1247,0.2513,0.6114
2025-04-29,0.2086,0.1273,0.1256,0.1243,0.2508,0.6104
2025-04-30,0.2085,0.1267,0.1256,0.1248,0.2509,0.608
2025-05-02,0.2078,0.1291,0.1291,0.1296,0.2528,0.6214
2025-05-05,0.1986,0.1236,0.1224,0.1215,0.2478,0.622
2025-05-06,0.199,0.1233,0.1223,0.1215,0.2479,0.6195
2025-05-07,0.1979,0.124,0.1226,0.1215,0.2474,0.6266
2025-05-08,0.1902,0.1224,0.1225,0.1225,0.2471,0.6435
2025-05-09,0.1486,0.1137,0.1174,0.1202,0.1675,0.7655
2025-05-12,0.1841,0.117,0.1134,0.1138,0.1694,0.6358
2025-05-13,0.1919,0.1222,0.1181,0.1179,0.1723,0.6364
2025-05-14,0.1847,0.1219,0.1184,0.1179,0.1679,0.6602
2025-05-15,0.1787,0.1323,0.129,0.1275,0.1562,0.7405
2025-05-16,0.1795,0.1317,0.1283,0.1269,0.1559,0.7334
2025-05-19,0.1729,0.1217,0.1212,0.1216,0.1504,0.7037
2025-05-20,0.1749,0.1225,0.1203,0.12,0.1498,0.7006
