date,spot_close,total_volume_lots,total_oi_lots_clean,volume_weighted_strike,vwks,oi_data_quality,oi_strikes_dropped_negative,oi_strikes_total
2025-02-27,22545.05,108175092.9,7412749.3,22610.68,1.00291,clean,0,940
2025-02-28,22124.7,56482838.0,5546354.0,22392.9,1.01212,clean,0,1029
2025-03-03,22119.3,64658037.9,6243332.0,22227.17,1.00488,clean,0,1252
2025-03-04,22082.65,52306211.5,6780242.7,22183.21,1.00455,clean,0,948
2025-03-05,22337.3,110658583.5,7687489.3,22269.14,0.99695,clean,0,1276
2025-03-06,22544.7,279757742.3,8849746.7,22403.33,0.99373,clean,0,1262
2025-03-07,22552.5,59729006.0,6202306.3,22571.75,1.00085,clean,0,934
2025-03-10,22460.3,69162520.1,6808749.7,22551.24,1.00405,clean,0,888
2025-03-11,22497.9,67522124.6,7628110.0,22438.19,0.99735,clean,0,895
2025-03-12,22470.5,126422858.9,8164329.0,22457.67,0.99943,clean,0,944
2025-03-13,22397.2,242498664.9,9049474.3,22462.99,1.00294,clean,0,925
2025-03-17,22508.75,59059035.8,6513174.7,22476.86,0.99858,clean,0,835
2025-03-18,22834.3,67099082.0,7487730.7,22656.74,0.99222,clean,0,1063
2025-03-19,22907.6,94131776.0,7944895.7,22822.94,0.9963,clean,0,895
2025-03-20,23190.65,245891583.4,9195653.0,23047.25,0.99382,clean,0,1126
2025-03-21,23350.4,64672368.3,6469760.7,23265.22,0.99635,clean,0,1079
2025-03-24,23658.35,69293674.9,7223389.0,23500.38,0.99332,clean,0,1123
2025-03-25,23668.65,71762190.2,7928823.7,23675.6,1.00029,clean,0,1162
2025-03-26,23486.85,104846840.8,8253774.3,23646.36,1.00679,clean,0,1048
2025-03-27,23591.95,182396710.2,8369388.7,23540.95,0.99784,clean,0,1053
2025-03-28,23519.35,60433649.1,5747449.7,23546.99,1.00118,clean,0,910
2025-04-01,23165.7,70698166.9,7155793.7,23348.75,1.0079,clean,0,1096
2025-04-02,23332.35,102836851.2,8121965.7,23243.17,0.99618,clean,0,938
2025-04-03,23250.1,204887016.3,9546732.3,23237.57,0.99946,clean,0,960
2025-04-04,22904.45,66720674.2,6506253.7,23074.81,1.00744,clean,0,1045
2025-04-07,22161.6,73117215.7,6552433.3,22600.24,1.01979,clean,0,982
2025-04-08,22535.85,88026380.2,7394300.7,22624.63,1.00394,clean,0,1112
2025-04-09,22399.15,210676040.6,9208962.3,22451.75,1.00235,clean,0,1094
2025-04-11,22828.55,47881171.7,5277812.3,22899.95,1.00313,clean,0,952
2025-04-15,23328.55,45032590.6,6412293.7,23162.12,0.99287,clean,0,1009
2025-04-16,23437.2,101587889.9,6886991.3,23321.03,0.99504,clean,0,976
2025-04-17,23851.65,293956693.0,8936549.0,23578.57,0.98855,clean,0,1181
2025-04-21,24125.55,56907649.0,6131299.3,23828.77,0.9877,clean,0,1095
2025-04-22,24167.25,47214458.9,6640669.0,23967.11,0.99172,clean,0,950
2025-04-23,24328.95,103490963.6,7488168.0,24160.9,0.99309,clean,0,1043
2025-04-24,24246.7,151149616.0,7576995.7,24210.2,0.99849,clean,0,1023
2025-04-25,24039.35,73868700.8,5231134.7,24015.3,0.999,clean,0,1143
2025-04-28,24328.5,68497780.1,6364527.7,24103.21,0.99074,clean,0,934
2025-04-29,24335.95,73419430.2,7390684.0,24235.35,0.99587,clean,0,1015
2025-04-30,24334.2,222506662.2,8613082.0,24273.83,0.99752,clean,0,993
2025-05-02,24346.7,70950188.2,5251965.0,24282.55,0.99737,clean,0,1051
2025-05-05,24461.15,60047576.3,6550502.3,24348.27,0.99539,clean,0,905
2025-05-06,24379.6,53795879.1,7224678.0,24279.26,0.99588,clean,0,881
2025-05-07,24414.4,110189407.8,7964997.7,24251.31,0.99332,clean,0,1080
